Date,Low,Open,Volume,High,Close,Adjusted Close
24-07-2020,97.7699966430664,98.75,47329200,103.64749908447266,101.94499969482422,101.82592010498048
27-07-2020,102.17749786376952,102.32250213623048,29213200,104.4175033569336,104.21499633789062,104.09326171875
28-07-2020,102.09249877929688,103.74250030517578,27163600,103.81999969482422,102.15499877929688,102.03567504882812
29-07-2020,103.47000122070312,103.90750122070312,28450800,105.1624984741211,104.65499877929688,104.53275299072266
30-07-2020,102.95249938964844,103.75,30888000,106.2300033569336,106.13999938964844,106.01602172851562
31-07-2020,104.33000183105467,105.63249969482422,38608000,107.66500091552734,106.14749908447266,106.02350616455078
03-08-2020,107.15249633789062,107.3249969482422,41272000,110.9875030517578,110.10250091552734,109.97389221191406
04-08-2020,109.05999755859376,110.5,31033600,112.27749633789062,112.27749633789062,112.1463394165039
05-08-2020,111.6624984741211,112.44000244140624,24992400,113.71749877929688,112.86750030517578,112.73566436767578
06-08-2020,111.7874984741211,113.49749755859376,24431600,113.58000183105467,113.3550033569336,113.22259521484376
07-08-2020,110.375,113.125,34251600,115.04750061035156,111.99500274658205,111.86418151855467
10-08-2020,108.56500244140624,113.34249877929688,42779600,114.0824966430664,111.6500015258789,111.5195770263672
11-08-2020,107.9574966430664,110.7375030517578,35451200,111.36750030517578,108.5,108.3732681274414
12-08-2020,109.5824966430664,109.90750122070312,46441200,114.66999816894533,114.40249633789062,114.26886749267578
13-08-2020,113.55750274658205,115.45999908447266,37446000,117.21749877929688,114.43000030517578,114.2963409423828
14-08-2020,114.40499877929688,115.3000030517578,36643600,117.04750061035156,115.63999938964844,115.50491333007812
17-08-2020,118.17250061035156,118.5124969482422,62130000,124.09750366210938,123.37000274658205,123.22588348388672
18-08-2020,120.8625030517578,124.5,50344800,124.95999908447266,122.60749816894533,122.46427917480467
19-08-2020,120.9800033569336,122.96499633789062,62262400,123.1500015258789,121.38500213623048,121.2432098388672
20-08-2020,118.7874984741211,119.75,92138800,123.75,121.41000366210938,121.26818084716795
21-08-2020,121.95249938964844,122.01750183105467,99986800,128.08749389648438,126.83499908447266,126.68684387207033
24-08-2020,125.0749969482422,128.83749389648438,49056400,129.125,127.20249938964844,127.0539093017578
25-08-2020,125.7375030517578,126.30750274658205,28907600,127.6125030517578,127.5,127.35106658935548
26-08-2020,126.77749633789062,127.99250030517578,32124400,128.68499755859375,127.7300033569336,127.58079528808594
